,FIPS Code,JUL21 SNAP Households
1636,39109,4300
1637,39111,897
1638,39113,39725
1639,39115,1193
1640,39117,1524
1641,39119,8634
1642,39121,752
1643,39123,1839
1644,39125,929
1645,39127,3108
1646,39129,3252
1647,39131,3488
1648,39133,7837
1649,39135,1902
1650,39137,848
1651,39139,9944
1652,39141,11221
1653,39143,2762
1654,39145,10143
1655,39147,3142
1656,39149,1753
1657,39151,25353
1658,39153,42707
1659,39155,16324
1660,39157,5328
1661,39159,1234
1662,39161,1137
1663,39163,0
1664,39165,4489
1665,39167,4151
1666,39169,5002
1667,39171,1752
1668,39173,3504
1669,39175,926
1670,40001,2422
1671,40003,222
1672,40005,1020
1673,40007,135
1674,40009,1722
1675,40011,689
1676,40013,3064
1677,40015,2323
1678,40017,5203
1679,40019,4272
1680,40021,3627
1681,40023,2010
1682,40025,91
1683,40027,12950
1684,40029,439
1685,40031,9624
1686,40033,437
1687,40035,1135
1688,40037,5264
1689,40039,1738
1690,40041,2534
1691,40043,205
1692,40045,177
1693,40047,4228
1694,40049,2341
1695,40051,3197
1696,40053,205
1697,40055,535
1698,40057,296
1699,40059,118
1700,40061,1249
1701,40063,1227
1702,40065,1899
1703,40067,622
1704,40069,1061
1705,40071,3967
1706,40073,585
1707,40075,1000
1708,40077,1034
1709,40079,4890
1710,40081,2456
